workload,operation,protocol,consistency,cluster,latency
a,READ,cassandra,ONE,asia-south1,2391.758335162314
a,READ,cassandra,ONE,europe-north1,1766.6371108044873
a,READ,cassandra,ONE,southamerica-east1,2590.4634582897593
a,READ,cassandra,QUORUM,asia-south1,635825.7357001973
a,READ,cassandra,QUORUM,europe-north1,425835.3762993763
a,READ,cassandra,QUORUM,southamerica-east1,447186.6614481409
a,READ,cassandra,SERIAL,asia-south1,1866524.3210412147
a,READ,cassandra,SERIAL,europe-north1,1282932.1534988713
a,READ,cassandra,SERIAL,southamerica-east1,1356510.9333333333
a,READ,accord,SERIAL,asia-south1,1803053.4989293362
a,READ,accord,SERIAL,europe-north1,1494602.8774703557
a,READ,accord,SERIAL,southamerica-east1,1558094.6141732284
a,UPDATE,cassandra,ONE,asia-south1,2420.606303001143
a,UPDATE,cassandra,ONE,europe-north1,1800.2704778669013
a,UPDATE,cassandra,ONE,southamerica-east1,2608.893468056329
a,UPDATE,cassandra,QUORUM,asia-south1,594520.275862069
a,UPDATE,cassandra,QUORUM,europe-north1,411412.1001926782
a,UPDATE,cassandra,QUORUM,southamerica-east1,411870.7566462168
a,UPDATE,cassandra,SERIAL,asia-south1,1739304.2175226586
a,UPDATE,cassandra,SERIAL,europe-north1,1276735.2289156627
a,UPDATE,cassandra,SERIAL,southamerica-east1,1325043.4844444445
a,UPDATE,accord,SERIAL,asia-south1,2330926.9585798816
a,UPDATE,accord,SERIAL,europe-north1,1892478.6236559139
a,UPDATE,accord,SERIAL,southamerica-east1,2051939.3103448276
b,READ,cassandra,ONE,asia-south1,2106.044852245241
b,READ,cassandra,ONE,europe-north1,1397.3521834681023
b,READ,cassandra,ONE,southamerica-east1,2149.8936255484305
b,READ,cassandra,QUORUM,asia-south1,728294.8886532343
b,READ,cassandra,QUORUM,europe-north1,472243.982832618
b,READ,cassandra,QUORUM,southamerica-east1,590523.5769633508
b,READ,cassandra,SERIAL,asia-south1,1902099.840688913
b,READ,cassandra,SERIAL,europe-north1,1326108.9122807018
b,READ,cassandra,SERIAL,southamerica-east1,1404912.9893390192
b,READ,accord,SERIAL,asia-south1,1886193.6086486487
b,READ,accord,SERIAL,europe-north1,1468863.525925926
b,READ,accord,SERIAL,southamerica-east1,1555014.7846994535
b,UPDATE,cassandra,ONE,asia-south1,2700.8393075356416
b,UPDATE,cassandra,ONE,europe-north1,1766.533578281282
b,UPDATE,cassandra,ONE,southamerica-east1,2786.9743441358023
b,UPDATE,cassandra,QUORUM,asia-south1,669648.8421052631
b,UPDATE,cassandra,QUORUM,europe-north1,437006.1176470588
b,UPDATE,cassandra,QUORUM,southamerica-east1,427801.6
b,UPDATE,cassandra,SERIAL,asia-south1,1747731.6923076923
b,UPDATE,cassandra,SERIAL,europe-north1,1313521.2307692308
b,UPDATE,cassandra,SERIAL,southamerica-east1,1350373.5172413792
b,UPDATE,accord,SERIAL,asia-south1,2514797.714285714
b,UPDATE,accord,SERIAL,europe-north1,1881088.0
b,UPDATE,accord,SERIAL,southamerica-east1,1998865.9649122807
c,READ,cassandra,ONE,asia-south1,2033.44887
c,READ,cassandra,ONE,europe-north1,1377.69987
c,READ,cassandra,ONE,southamerica-east1,2114.23589
c,READ,cassandra,QUORUM,asia-south1,752761.984
c,READ,cassandra,QUORUM,europe-north1,464594.176
c,READ,cassandra,QUORUM,southamerica-east1,610635.328
c,READ,cassandra,SERIAL,asia-south1,1953027.1801242237
c,READ,cassandra,SERIAL,europe-north1,1305637.5397148677
c,READ,cassandra,SERIAL,southamerica-east1,1382598.3282364933
c,READ,accord,SERIAL,asia-south1,1857194.6666666667
c,READ,accord,SERIAL,europe-north1,1452700.0724346077
c,READ,accord,SERIAL,southamerica-east1,1518381.5571284126
d,READ,cassandra,ONE,asia-south1,2277.2778859819973
d,READ,cassandra,ONE,europe-north1,1550.292995777036
d,READ,cassandra,ONE,southamerica-east1,2409.993511486565
d,READ,cassandra,QUORUM,asia-south1,718647.3368310598
d,READ,cassandra,QUORUM,europe-north1,438109.15856236784
d,READ,cassandra,QUORUM,southamerica-east1,574505.3716719914
d,READ,cassandra,SERIAL,asia-south1,1986633.9154929577
d,READ,cassandra,SERIAL,europe-north1,1363351.486238532
d,READ,cassandra,SERIAL,southamerica-east1,1414278.2332955832
d,READ,accord,SERIAL,asia-south1,1787600.3929824561
d,READ,accord,SERIAL,europe-north1,1438193.4214123008
d,READ,accord,SERIAL,southamerica-east1,1520485.939257593
d,INSERT,cassandra,ONE,asia-south1,2983.18703888335
d,INSERT,cassandra,ONE,europe-north1,1971.5367836605196
d,INSERT,cassandra,ONE,southamerica-east1,3054.2589373889
d,INSERT,cassandra,QUORUM,asia-south1,642935.8297872341
d,INSERT,cassandra,QUORUM,europe-north1,431849.48148148146
d,INSERT,cassandra,QUORUM,southamerica-east1,439840.52459016396
d,INSERT,cassandra,SERIAL,asia-south1,1820672.0
d,INSERT,cassandra,SERIAL,europe-north1,1339827.2
d,INSERT,cassandra,SERIAL,southamerica-east1,1379840.0
d,INSERT,accord,SERIAL,asia-south1,2388389.6470588236
d,INSERT,accord,SERIAL,europe-north1,1807650.9090909092
d,INSERT,accord,SERIAL,southamerica-east1,1888415.288888889
e,INSERT,cassandra,ONE,asia-south1,8738.917372027408
e,INSERT,cassandra,ONE,europe-north1,5610.142151047845
e,INSERT,cassandra,ONE,southamerica-east1,8318.492699979437
e,INSERT,cassandra,QUORUM,asia-south1,554428.2352941176
e,INSERT,cassandra,QUORUM,europe-north1,393233.3559322034
e,INSERT,cassandra,QUORUM,southamerica-east1,396674.9090909091
e,INSERT,cassandra,SERIAL,asia-south1,1775255.7037037036
e,INSERT,cassandra,SERIAL,europe-north1,1186026.6666666667
e,INSERT,cassandra,SERIAL,southamerica-east1,1236736.0
e,INSERT,accord,SERIAL,asia-south1,1884672.0
e,INSERT,accord,SERIAL,europe-north1,1477463.04
e,INSERT,accord,SERIAL,southamerica-east1,1460037.3333333333
e,SCAN,cassandra,ONE,asia-south1,9825.065668469455
e,SCAN,cassandra,ONE,europe-north1,6288.492742937794
e,SCAN,cassandra,ONE,southamerica-east1,9488.619086159959
e,SCAN,cassandra,QUORUM,asia-south1,697242.1664910432
e,SCAN,cassandra,QUORUM,europe-north1,426759.88947927736
e,SCAN,cassandra,QUORUM,southamerica-east1,526983.230125523
e,SCAN,cassandra,SERIAL,asia-south1,744107.862928349
e,SCAN,cassandra,SERIAL,europe-north1,417919.26742976066
e,SCAN,cassandra,SERIAL,southamerica-east1,557104.0675105485
e,SCAN,accord,SERIAL,asia-south1,558797.1804670913
e,SCAN,accord,SERIAL,europe-north1,492386.8722280887
e,SCAN,accord,SERIAL,southamerica-east1,429400.07586933614
